index,Unnamed: 0,age,num_children,gender,reported_height,reported_weight,reported_pants_size_waist,reported_pants_size_inseam,bra_size_chest,bra_size_cup,age_range,shoe_size_us,ankle_circum,spine_to_scye_len,spine_to_elbow_len,arm_len_spine_wrist,arm_len_shoulder_wrist,arm_len_shoulder_elbow,scye_circum,chest_circum,chest_circum_below_bust,chest_circum_scye,jean_inseam,hand_len,hip_circum,hip_height,neck_circum_base,bideltoid_breadth,height,thigh_circum_proximal,u_crotch,waist_circum_preferred,waist_height_preferred,weight,biacromial_breadth,bicristal_breadth,bust_to_bust,cervical_height,chest_height,interscye_dist,acromion_height,acromion_radial_len,ankle_height_inside,ankle_height_outside,axilla_height,elbow_height,knee_height,radial_stylion_len,sleeve_inseam,sleeve_outseam,acromion_radial_stylion_len,shoulder_len,dataset
1716,16608.0,31.0,3.0,female,66.14,121.25,32.0,30.0,34.0,1.0,26-35,5.5,9.13,7.52,20.67,30.94,23.43,13.15,16.5,33.74,29.49,33.23,31.77,6.89,37.48,32.56,16.85,15.67,64.72,21.57,25.39,26.42,41.18,124.34,13.32,11.38,7.11,54.95,46.2,13.12,53.36,12.145,3.21,2.635,48.445,41.345,18.045,9.43,16.45,20.865,21.575,7.51,caesar
1717,16609.0,23.0,0.0,female,64.57,127.87,29.0,30.0,32.0,1.0,17-25,7.5,9.69,7.13,19.69,29.33,22.2,12.56,14.61,34.17,30.35,33.23,29.92,7.09,38.31,30.55,15.28,16.42,64.61,22.83,24.25,26.61,39.92,123.9,13.52,10.75,7.09,54.59,46.72,13.4,52.39,12.0,3.005,2.335,48.39,41.315,17.085,8.775,16.325,20.55,20.775,7.13,caesar
1733,16630.0,22.0,0.0,female,66.14,143.3,32.0,30.0,32.0,1.0,17-25,9.5,9.61,7.95,19.96,29.72,21.77,12.01,15.87,35.71,30.35,35.91,31.85,7.72,42.09,31.54,15.47,17.76,67.48,25.0,28.19,29.41,41.5,146.17,14.62,11.4,7.8,57.43,47.59,15.15,54.67,11.425,2.91,2.325,50.115,43.895,17.8,8.66,15.89,19.725,20.085,7.95,caesar
1743,16642.0,43.0,3.0,female,64.96,130.07,29.0,32.0,36.0,0.0,36-45,9.5,9.92,7.76,21.06,31.57,23.82,13.31,15.31,36.54,32.52,35.12,31.89,7.36,38.9,32.8,16.54,16.65,65.67,21.22,26.5,28.74,40.91,130.07,14.35,10.92,7.99,55.89,47.78,14.71,53.545,12.315,2.895,2.39,49.32,41.985,17.77,9.345,17.185,21.475,21.66,7.75,caesar
1748,16648.0,19.0,0.0,female,67.32,134.48,28.0,30.0,34.0,1.0,17-25,8.5,9.72,7.52,20.67,30.71,23.19,13.15,14.84,34.49,30.39,33.27,32.72,7.2,37.4,33.23,16.26,15.79,67.28,20.63,24.61,26.57,41.81,128.75,13.78,10.69,6.73,57.01,48.93,14.54,55.615,12.425,3.16,2.265,51.475,44.08,18.645,8.865,16.96,20.945,21.29,7.52,caesar
1752,16651.0,25.0,0.0,female,66.93,147.71,32.0,32.0,32.0,3.0,17-25,9.5,9.53,7.52,21.18,32.56,25.04,13.66,15.2,38.78,30.67,36.3,32.28,7.52,41.22,32.8,17.13,16.3,67.05,24.02,25.67,33.07,41.38,155.65,14.56,12.62,8.93,57.39,48.95,14.08,55.15,12.635,3.045,2.54,51.175,43.05,18.615,9.925,17.63,21.785,22.56,7.52,caesar
1755,16654.0,26.0,0.0,female,66.54,143.3,30.0,30.0,36.0,2.0,26-35,7.5,9.49,7.4,20.47,30.35,22.95,13.07,15.43,37.76,29.96,35.08,30.39,6.69,40.75,31.81,16.57,16.46,65.28,23.5,25.2,30.83,39.57,142.42,13.27,11.21,8.67,55.16,45.72,14.57,53.125,12.225,2.955,2.345,49.18,41.595,17.725,9.385,17.28,21.295,21.61,7.4,caesar
1768,16668.0,29.0,0.0,female,67.72,138.89,32.0,30.0,36.0,1.0,26-35,8.5,9.72,7.32,20.59,31.14,23.82,13.27,15.04,36.06,31.69,35.12,32.6,7.48,40.24,32.68,16.93,16.42,67.64,23.54,25.67,27.68,41.73,139.99,14.17,10.83,8.16,56.24,48.91,14.94,55.23,12.345,3.47,2.795,51.435,43.64,18.375,10.01,18.295,21.7,22.355,7.32,caesar
1772,16672.0,27.0,0.0,female,66.14,127.87,29.0,32.0,34.0,0.0,26-35,7.5,10.24,7.8,20.71,30.47,22.68,12.91,13.94,33.78,29.8,33.39,29.8,7.2,39.21,30.31,16.54,16.26,65.2,22.24,25.59,25.98,39.41,126.77,14.64,9.29,6.78,54.8,46.64,13.76,52.28,11.78,2.97,2.67,48.295,40.85,17.275,8.59,16.22,20.005,20.37,7.79,caesar
1773,16673.0,29.0,0.0,female,69.29,152.12,32.0,36.0,34.0,3.0,26-35,8.5,9.72,7.99,21.77,32.6,24.61,13.78,14.92,38.46,31.46,36.02,33.43,7.68,40.71,34.92,18.39,17.2,69.41,23.54,26.18,30.87,43.11,157.41,14.8,11.41,8.24,58.21,48.4,14.95,56.995,13.06,3.3,2.64,52.66,44.545,18.995,9.89,18.555,22.71,22.95,7.99,caesar
1779,16679.0,22.0,0.0,female,70.87,165.35,33.0,36.0,34.0,2.0,17-25,8.5,9.29,8.31,22.36,33.31,25.0,14.06,14.96,36.65,31.18,34.84,33.7,7.72,45.63,33.43,17.44,17.6,69.92,26.77,26.65,31.93,42.83,164.24,13.7,11.57,7.92,58.34,50.84,15.1,57.175,13.71,3.055,2.715,53.015,44.555,18.97,9.1,18.155,22.845,22.81,8.31,caesar
1781,16680.0,24.0,0.0,female,69.69,143.3,30.0,34.0,34.0,1.0,17-25,8.5,9.96,7.48,20.94,31.3,23.82,13.46,14.13,34.88,29.37,33.82,34.21,7.48,40.91,35.12,16.77,16.42,70.55,23.62,23.43,32.68,42.4,146.83,14.16,11.81,7.21,59.89,50.83,14.26,57.855,12.94,3.215,2.385,53.38,45.685,19.33,9.605,17.925,21.88,22.545,7.48,caesar
1782,16681.0,23.0,0.0,female,65.35,144.4,32.0,30.0,36.0,1.0,17-25,8.5,9.72,7.56,19.69,28.98,21.42,12.13,15.16,36.38,31.54,35.28,30.2,7.48,40.83,31.26,16.61,16.61,65.43,22.87,23.66,32.64,38.98,144.62,13.34,11.85,6.99,55.28,47.07,14.28,53.805,11.45,3.33,2.49,49.36,43.635,17.38,8.675,15.615,20.325,20.125,7.56,caesar
1788,16687.0,20.0,0.0,female,66.54,121.25,29.0,32.0,34.0,0.0,17-25,8.5,9.29,7.09,19.57,29.61,22.52,12.48,14.33,34.29,29.21,32.83,32.28,7.24,36.81,32.95,15.43,15.35,65.43,21.26,22.8,28.86,39.72,112.44,13.71,10.12,6.76,55.83,48.28,13.87,53.955,11.96,3.105,2.495,50.525,42.52,18.16,9.33,17.895,20.905,21.29,7.09,caesar
1803,16705.0,21.0,0.0,female,66.93,123.46,30.0,32.0,34.0,1.0,17-25,8.5,9.13,8.43,20.67,30.63,22.2,12.24,13.9,34.72,28.94,33.94,30.28,7.09,36.61,30.12,16.02,16.06,66.57,20.28,25.59,26.89,40.28,121.25,14.58,10.91,7.45,57.1,48.59,13.93,54.125,11.4,3.195,2.315,50.8,43.15,17.41,8.89,16.945,19.8,20.29,8.43,caesar
1806,16708.0,29.0,0.0,female,68.9,176.37,34.0,34.0,36.0,2.0,26-35,10.5,10.2,8.03,22.13,32.52,24.49,14.09,17.91,39.33,34.06,39.13,32.8,7.28,44.72,33.46,17.28,18.7,69.92,25.67,29.53,30.55,42.91,171.96,15.05,12.82,6.71,58.81,49.82,16.18,57.475,13.05,3.19,2.91,51.955,44.865,18.775,9.505,16.61,22.265,22.555,8.03,caesar
1818,16721.0,24.0,0.0,female,68.9,121.25,28.0,34.0,34.0,1.0,17-25,8.5,8.9,7.76,21.06,31.89,24.13,13.31,13.7,33.35,29.65,33.43,32.48,7.09,36.93,33.46,16.3,15.98,68.7,21.22,27.01,25.51,43.07,119.71,14.69,10.62,7.58,57.77,49.57,14.81,55.835,12.835,3.08,2.25,51.63,43.785,18.575,9.34,18.015,21.89,22.175,7.76,caesar
1821,16724.0,22.0,0.0,female,62.99,125.66,30.0,30.0,34.0,1.0,17-25,5.5,9.06,7.8,20.47,30.0,22.2,12.68,14.72,35.98,30.31,34.76,28.9,6.38,40.35,29.61,16.97,16.65,63.43,23.27,25.67,28.62,38.35,131.84,14.85,11.67,7.98,52.87,44.86,14.18,50.29,11.235,3.175,2.925,46.655,39.63,17.03,8.44,15.845,19.42,19.675,7.8,caesar
1822,16725.0,21.0,0.0,female,66.54,141.1,30.0,32.0,34.0,3.0,17-25,9.5,10.08,8.07,20.55,30.67,22.6,12.48,15.71,39.29,32.17,36.42,31.5,7.56,39.37,32.64,16.65,17.99,65.98,22.68,23.15,33.19,39.76,143.52,14.22,12.23,8.03,56.21,47.37,16.96,54.74,12.22,3.21,2.65,49.98,43.585,18.52,9.23,16.415,21.355,21.45,8.07,caesar
1829,16733.0,28.0,0.0,female,66.93,127.87,29.0,32.0,34.0,1.0,26-35,7.5,8.98,7.91,20.31,29.8,21.89,12.4,15.08,34.69,29.17,33.74,31.34,7.4,36.89,32.95,16.1,16.46,66.77,22.4,25.79,28.11,40.16,130.95,14.41,10.7,7.48,56.55,48.45,13.39,54.1,11.415,3.47,3.12,49.825,43.01,18.535,9.255,16.24,20.53,20.67,7.91,caesar
1830,16734.0,29.0,0.0,female,67.32,132.28,28.0,31.0,34.0,2.0,26-35,8.5,9.8,7.28,20.08,30.16,22.87,12.8,14.72,36.18,29.41,34.65,30.98,7.32,39.96,30.63,16.02,16.5,67.28,22.83,26.65,26.3,40.43,134.48,14.42,10.92,8.82,56.99,47.87,14.49,54.865,12.145,3.175,2.81,50.3,43.06,18.3,9.375,16.785,21.165,21.52,7.29,caesar
1837,16740.0,26.0,0.0,female,69.29,143.3,30.0,32.0,34.0,2.0,26-35,6.5,9.65,7.68,20.67,30.51,22.83,12.99,15.08,37.17,31.38,35.31,31.42,7.17,40.35,32.87,16.1,17.32,68.31,23.5,27.76,27.36,41.81,139.99,14.42,11.06,8.36,57.49,49.13,14.12,55.67,12.325,2.93,2.385,51.375,43.56,18.095,9.585,17.52,21.05,21.91,7.68,caesar
1843,16754.0,20.0,0.0,female,62.6,108.03,28.0,30.0,34.0,1.0,17-25,7.5,8.9,7.36,19.41,29.61,22.24,12.05,13.43,33.07,28.62,32.52,28.46,6.85,37.76,29.84,15.59,15.39,63.5,20.87,23.62,25.63,38.62,110.23,13.78,10.29,6.06,53.36,45.7,14.65,51.26,11.065,3.0,2.61,47.97,40.885,16.61,9.185,16.88,19.835,20.25,7.37,caesar
1859,16778.0,27.0,0.0,female,66.54,132.28,30.0,32.0,34.0,3.0,26-35,6.5,9.25,7.28,20.08,29.61,22.32,12.8,14.96,37.17,29.65,34.21,31.34,7.01,39.45,32.17,15.59,16.69,66.02,22.17,27.24,28.82,40.28,132.94,13.89,11.18,8.21,55.65,47.76,15.11,54.085,11.845,3.18,2.61,49.845,43.16,17.68,8.95,16.53,20.46,20.795,7.29,caesar
